chassi,pps,percentil_atacado,dta_recebimento_atacado
LC0C76C48S0021990,"171.900,00","0,02",28/05/2025
LC0C76C48S0021892,"171.900,00","0,02",28/05/2025
LC0C76C48S0023433,"171.900,00","0,02",28/05/2025
LC0C76C49S0022212,"171.900,00","0,02",28/05/2025
LC0C76C47S0023455,"171.900,00","0,02",28/05/2025
LC0C76C49S0022162,"171.900,00","0,02",28/05/2025
LC0C76C4XS0022199,"171.900,00","0,02",28/05/2025
LC0C76C49S0022307,"171.900,00","0,02",28/05/2025
LC0C76C48S0022248,"171.900,00","0,02",28/05/2025
LC0C76C48S0021911,"171.900,00","0,02",28/05/2025
LC0C76C4XS0013017,"171.900,00","0,02",28/05/2025
LC0C76C4XS0012823,"171.900,00","0,02",28/05/2025
LC0C76C4XS0012885,"171.900,00","0,02",28/05/2025
LC0C76C4XS0012806,"171.900,00","0,02",28/05/2025
LC0C76C4XS0012983,"171.900,00","0,02",28/05/2025
LC0C76C49S0021836,"171.900,00","0,02",28/05/2025
LC0C76C43S0013098,"171.900,00","0,02",28/05/2025
LC0C76C48S0021889,"171.900,00","0,02",28/05/2025
LC0C76C42S0012783,"171.900,00","0,02",28/05/2025
LC0C76C48S0021875,"171.900,00","0,02",28/05/2025
LC0C76C42S0022052,"171.900,00","0,02",28/05/2025
LC0C76C48S0022301,"171.900,00","0,02",28/05/2025
LC0C76C49S0022016,"171.900,00","0,02",28/05/2025
LC0C76C47S0022046,"171.900,00","0,02",28/05/2025
LC0C76C49S0022078,"171.900,00","0,02",28/05/2025
LC0C76C47S0022015,"171.900,00","0,02",28/05/2025
LC0C76C47S0022273,"171.900,00","0,02",28/05/2025
LC0C76C47S0022192,"171.900,00","0,02",28/05/2025
LC0C76C47S0022211,"171.900,00","0,02",28/05/2025
LC0C76C47S0022287,"171.900,00","0,02",28/05/2025
LC0C76C47S0022225,"171.900,00","0,02",28/05/2025
LC0C76C47S0022001,"171.900,00","0,02",28/05/2025
LC0C76C47S0022130,"171.900,00","0,02",28/05/2025
LC0C76C47S0022239,"171.900,00","0,02",28/05/2025
LC0C76C47S0022161,"171.900,00","0,02",28/05/2025
LC0C76C47S0022032,"171.900,00","0,02",28/05/2025
LC0C76C47S0022290,"171.900,00","0,02",28/05/2025
LC0C76C47S0022063,"171.900,00","0,02",28/05/2025
LC0C74C4XS5011131,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011565,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011209,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011145,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010724,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010660,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010691,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011078,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010366,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011033,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010917,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011016,"184.800,00","0,02",28/05/2025
LC0C74C4XS5011047,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010769,"184.800,00","0,02",28/05/2025
LC0C74C49S5002243,"184.800,00","0,02",28/05/2025
LC0C74C48S5011287,"184.800,00","0,02",28/05/2025
LC0C76C42S0023394,"171.900,00","0,02",28/05/2025
LC0C76C42S0023511,"171.900,00","0,02",28/05/2025
LC0C76C42S0022312,"171.900,00","0,02",28/05/2025
LC0C76C42S0022133,"171.900,00","0,02",28/05/2025
LGXC74C45S0049635,"244.800,00","0,02",28/05/2025
LGXC74C45S0049571,"244.800,00","0,02",28/05/2025
LGXC74C45S0049702,"244.800,00","0,02",28/05/2025
LGXC74C45S0048629,"244.800,00","0,02",28/05/2025
LGXC74C45S0049733,"244.800,00","0,02",28/05/2025
LGXC74C45S0049697,"244.800,00","0,02",28/05/2025
LGXC74C45S0048677,"244.800,00","0,02",28/05/2025
LGXC74C45S0050218,"244.800,00","0,02",28/05/2025
LGXC74C45S0049604,"244.800,00","0,02",28/05/2025
LGXC74C45S0049585,"244.800,00","0,02",28/05/2025
LGXC74C45S0049599,"244.800,00","0,02",28/05/2025
LGXC74C49S0048679,"244.800,00","0,02",28/05/2025
LGXC74C49S0046947,"244.800,00","0,02",28/05/2025
LGXC74C48S0050777,"244.800,00","0,02",28/05/2025
LGXC74C48S0050259,"244.800,00","0,02",28/05/2025
LGXC74C46S0049630,"244.800,00","0,02",28/05/2025
LGXC74C46S0049692,"244.800,00","0,02",28/05/2025
LGXC74C48S0050262,"244.800,00","0,02",28/05/2025
LGXC74C46S0049689,"244.800,00","0,02",28/05/2025
LGXC74C46S0049627,"244.800,00","0,02",28/05/2025
LGXC74C48S0050763,"244.800,00","0,02",28/05/2025
LGXC74C49S0048651,"244.800,00","0,02",28/05/2025
LGXC74C48S0050780,"244.800,00","0,02",28/05/2025
LGXC74C48S0050746,"244.800,00","0,02",28/05/2025
LGXC74C48S0050276,"244.800,00","0,02",28/05/2025
LGXC74C45S0048646,"244.800,00","0,02",28/05/2025
LGXC74C45S0049568,"244.800,00","0,02",28/05/2025
LGXC74C4XS0050778,"244.800,00","0,02",28/05/2025
LGXC74C4XS0050781,"244.800,00","0,02",28/05/2025
LC0C76C42S0022097,"171.900,00","0,02",28/05/2025
LC0C76C41S0028750,"171.900,00","0,02",28/05/2025
LC0C76C42S0028806,"171.900,00","0,02",28/05/2025
LC0C76C41S0028893,"171.900,00","0,02",28/05/2025
LC0C76C41S0028960,"171.900,00","0,02",28/05/2025
LC0C76C42S0021936,"171.900,00","0,02",28/05/2025
LC0C76C42S0021841,"171.900,00","0,02",28/05/2025
LC0C76C41S0028733,"171.900,00","0,02",28/05/2025
LC0C76C42S0028823,"171.900,00","0,02",28/05/2025
LC0C76C42S0022195,"171.900,00","0,02",28/05/2025
LC0C74C4XS5011632,"184.800,00","0,02",28/05/2025
LC0C74C4XS5010674,"184.800,00","0,02",28/05/2025
LC0C76C44S0023381,"171.900,00","0,02",28/05/2025
LC0C76C49S0029581,"171.900,00","0,02",28/05/2025
LC0C76C49S0029645,"171.900,00","0,02",28/05/2025
LC0C76C49S0029564,"171.900,00","0,02",28/05/2025
LC0C76C49S0029483,"171.900,00","0,02",28/05/2025
LC0C76C46S0023513,"171.900,00","0,02",28/05/2025
LC0C76C42S0023167,"171.900,00","0,02",28/05/2025
LC0C76C49S0029550,"171.900,00","0,02",28/05/2025
LC0C76C49S0029533,"171.900,00","0,02",28/05/2025
LC0C76C45S0023535,"171.900,00","0,02",28/05/2025
LC0C76C41S0023211,"171.900,00","0,02",28/05/2025
LC0C76C49S0029600,"171.900,00","0,02",28/05/2025
LC0C76C49S0029516,"171.900,00","0,02",28/05/2025
LC0C76C46S0014360,"171.900,00","0,02",28/05/2025
LC0C76C45S0024636,"171.900,00","0,02",28/05/2025
LC0C76C49S0029614,"171.900,00","0,02",28/05/2025
LC0C76C4XS0019948,"171.900,00","0,02",28/05/2025
LC0C76C49S0029595,"171.900,00","0,02",28/05/2025
LC0C76C49S0029659,"171.900,00","0,02",28/05/2025
LC0C76C4XS0019934,"171.900,00","0,02",28/05/2025
LC0C76C42S0023153,"171.900,00","0,02",28/05/2025
LC0C76C49S0029628,"171.900,00","0,02",28/05/2025
LGXC74C47S0033341,"244.800,00","0,02",28/05/2025
LGXC74C46S0047991,"244.800,00","0,02",28/05/2025
LGXC74C48S0046924,"244.800,00","0,02",28/05/2025
LGXC74C48S0048012,"244.800,00","0,02",28/05/2025
LGXC74C48S0047992,"244.800,00","0,02",28/05/2025
LGXC74C48S0047944,"244.800,00","0,02",28/05/2025
LGXC74C46S0048008,"244.800,00","0,02",28/05/2025
LGXC74C46S0047988,"244.800,00","0,02",28/05/2025
LGXC74C45S0048128,"244.800,00","0,02",28/05/2025
LGXC74C45S0048131,"244.800,00","0,02",28/05/2025
LGXC74C45S0048114,"244.800,00","0,02",28/05/2025
LGXC74C43S0043350,"244.800,00","0,02",28/05/2025
LGXC74C46S0042712,"244.800,00","0,02",28/05/2025
LGXC74C43S0040688,"244.800,00","0,02",28/05/2025
LGXC74C47S0042721,"244.800,00","0,02",28/05/2025
LGXC74C46S0045870,"244.800,00","0,02",28/05/2025
LGXC74C47S0041682,"244.800,00","0,02",28/05/2025
LGXC74C46S0046288,"244.800,00","0,02",28/05/2025
LGXC74C42S0046918,"244.800,00","0,02",28/05/2025
LGXC74C43S0041498,"244.800,00","0,02",28/05/2025
LGXC74C43S0040710,"244.800,00","0,02",28/05/2025
LGXC74C45S0047979,"244.800,00","0,02",28/05/2025
LGXC74C45S0048050,"244.800,00","0,02",28/05/2025
LGXC74C49S0046432,"244.800,00","0,02",28/05/2025
LGXC74C49S0045880,"244.800,00","0,02",28/05/2025
LGXC74C4XS0042714,"244.800,00","0,02",28/05/2025
LGXC74C49S0048116,"244.800,00","0,02",28/05/2025
LGXC74C49S0046995,"244.800,00","0,02",28/05/2025
LGXC74C49S0048049,"244.800,00","0,02",28/05/2025
LGXC74C49S0045894,"244.800,00","0,02",28/05/2025
LGXC74C4XS0040722,"244.800,00","0,02",28/05/2025
LGXC74C42S0040696,"244.800,00","0,02",28/05/2025
LGXC74C42S0040701,"244.800,00","0,02",28/05/2025
LGXC74C42S0040729,"244.800,00","0,02",28/05/2025
LGXC74C42S0041704,"244.800,00","0,02",28/05/2025
LGXC74C42S0041685,"244.800,00","0,02",28/05/2025
LGXC74C41S0043346,"244.800,00","0,02",28/05/2025
LGXC74C41S0042715,"244.800,00","0,02",28/05/2025
LGXC74C42S0041699,"244.800,00","0,02",28/05/2025
LGXC74C4XS0043457,"244.800,00","0,02",28/05/2025
LGXC74C46S0045867,"244.800,00","0,02",28/05/2025
LC0C76C44S0023428,"171.900,00","0,02",28/05/2025
LC0C76C47S0014285,"171.900,00","0,02",28/05/2025
LC0C76C47S0025996,"171.900,00","0,02",28/05/2025
LC0C76C47S0014349,"171.900,00","0,02",28/05/2025
LC0C76C47S0026856,"171.900,00","0,02",28/05/2025
LC0C76C47S0026016,"171.900,00","0,02",28/05/2025
LC0C76C47S0026145,"171.900,00","0,02",28/05/2025
LC0C76C47S0015145,"171.900,00","0,02",28/05/2025
LC0C76C47S0013587,"171.900,00","0,02",28/05/2025
LC0C76C47S0026825,"171.900,00","0,02",28/05/2025
LC0C76C47S0024895,"171.900,00","0,02",28/05/2025
LC0C76C47S0013654,"171.900,00","0,02",28/05/2025
LC0C76C47S0015131,"171.900,00","0,02",28/05/2025
LC0C76C47S0013699,"171.900,00","0,02",28/05/2025
LC0C76C47S0014352,"171.900,00","0,02",28/05/2025
LC0C76C44S0023414,"171.900,00","0,02",28/05/2025
LC0C76C46S0027190,"171.900,00","0,02",28/05/2025
LC0C74C42S5020034,"184.800,00","0,02",28/05/2025
LC0C74C4XS5012358,"184.800,00","0,02",28/05/2025
LC0C74C46S5019503,"184.800,00","0,02",28/05/2025
LC0C74C46S5019405,"184.800,00","0,02",28/05/2025
LC0C74C46S5019467,"184.800,00","0,02",28/05/2025
LC0C74C47S5003570,"184.800,00","0,02",28/05/2025
LC0C74C4XS5013008,"184.800,00","0,02",28/05/2025
LC0C74C46S5019436,"184.800,00","0,02",28/05/2025
LC0C74C46S5018366,"184.800,00","0,02",28/05/2025
LC0C74C45S5008055,"184.800,00","0,02",28/05/2025
LC0C74C45S5008122,"184.800,00","0,02",28/05/2025
LC0C74C4XS5014515,"184.800,00","0,02",28/05/2025
LC0C74C46S5019498,"184.800,00","0,02",28/05/2025
LC0C74C45S5007987,"184.800,00","0,02",28/05/2025
LC0C74C46S5004726,"184.800,00","0,02",28/05/2025
LC0C74C46S5001485,"184.800,00","0,02",28/05/2025
LC0C74C46S5002829,"184.800,00","0,02",28/05/2025
