idnfsexterno,dta_emplacamento
A251138871V210,02/01/2025
A25312041V210,09/01/2025
A25312111V210,08/01/2025
A25218511V210,10/01/2025
A25716291V210,16/01/2025
A251139471V210,08/01/2025
A25312171V070,22/01/2025
A251140391V210,08/01/2025
A2547671V210,08/01/2025
A25218851V210,08/01/2025
A25312191V210,08/01/2025
A251140561V210,08/01/2025
A25312211V210,09/01/2025
A25716621V210,08/01/2025
A251140641V210,08/01/2025
A2569091V210,09/01/2025
A25716631V210,08/01/2025
A25716651V210,09/01/2025
A2552731V210,09/01/2025
A251141281V210,10/01/2025
A251141311V070,09/01/2025
A25312291V210,09/01/2025
A251141321V210,30/01/2025
A251141431V210,09/01/2025
A25716751V210,09/01/2025
A2551078615305VD,
A251141441V070,24/01/2025
A25219021V070,31/01/2025
A25716791V210,13/01/2025
A251141541V210,13/01/2025
A251141561V210,13/01/2025
A25312401V210,13/01/2025
A25716801V210,10/01/2025
A25716811V210,13/01/2025
A25312411V210,22/01/2025
A251141671V210,21/01/2025
A251141691V210,10/01/2025
A251141701V210,10/01/2025
A25716891V210,15/01/2025
A25312431V210,13/01/2025
A2569211V210,13/01/2025
A251105804510442VD,
A25219201V070,27/01/2025
A2547741V210,13/01/2025
A251142331V210,23/01/2025
A2569261V210,14/01/2025
A2547751V210,06/03/2025
A251142411V210,14/01/2025
A25717061V210,17/01/2025
A25312561V210,16/01/2025
A25674385778VD,
A2569331V210,15/01/2025
A2569361V210,14/01/2025
A25717161V210,22/01/2025
A25219501V210,15/01/2025
A25219511V210,14/02/2025
A251143331V210,17/01/2025
A251143411V210,21/01/2025
A251143451V210,16/01/2025
A251143661V210,22/01/2025
A25210690351490VD,
A25717261V210,17/01/2025
A2547791V210,24/01/2025
A25219721V210,21/01/2025
A25310844351386VD,
A251144411V210,20/01/2025
A2569521V210,20/01/2025
A25312931V210,20/01/2025
A2547801V210,21/01/2025
A2569541V210,24/01/2025
A2547811V210,20/01/2025
A25312981V210,22/01/2025
A2547851V210,20/01/2025
A25717441V210,21/01/2025
A25717501V210,22/01/2025
A251144881V210,24/01/2025
A251144941V210,23/01/2025
A25313031V210,24/01/2025
A251145041V210,24/01/2025
A25220111V210,24/01/2025
A25220141V210,23/01/2025
A251145221V210,21/01/2025
A25220161V070,14/02/2025
A25313061V210,21/01/2025
A25220171V210,23/01/2025
A251145281V210,21/01/2025
A25313101V210,23/01/2025
A25220221V210,27/01/2025
A251145401V210,21/01/2025
A25220281V210,17/02/2025
A2552951V210,22/01/2025
A25220291V210,23/01/2025
A25220331V210,27/01/2025
A251145991V210,30/01/2025
A25313151V210,24/01/2025
A251146211V210,23/01/2025
A25313181V210,23/01/2025
A251146241V210,24/01/2025
A251146251V210,23/01/2025
A25220481V210,29/01/2025
