chassi,pps,percentil_tiktok,percentil_nps,percentil_visits,percentil_snapon,percentil_mystery,percentil_chatbot,percentil_download
LGXCF6CD7S2000598,"299.800,00",,,,,,,
LGXCF6CD7S2000536,"299.800,00",,,,,,,
LC0C74C46S5020019,"204.800,00",,,,,,,
LC0C74C46S5020750,"204.800,00",,,,,,,
LC0C74C46S5020814,"204.800,00",,,,,,,
LC0C74C46S5020747,"204.800,00",,,,,,,
LC0C74C46S5020022,"204.800,00",,,,,,,
LC0C74C46S5019923,"204.800,00",,,,,,,
LC0C74C46S5020781,"204.800,00",,,,,,,
LC0C74C46S5020005,"204.800,00",,,,,,,
LC0C74C46S5021493,"204.800,00",,,,,,,
LC0C74C46S5021476,"204.800,00",,,,,,,
LC0C74C46S5021509,"204.800,00",,,,,,,
LC0C74C46S5021462,"204.800,00",,,,,,,
LC0C74C46S5019890,"204.800,00",,,,,,,
LC0C74C46S5020800,"204.800,00",,,,,,,
LC0C74C46S5021445,"204.800,00",,,,,,,
LC0C74C46S5021414,"204.800,00",,,,,,,
LC0C74C46S5021459,"204.800,00",,,,,,,
LC0C74C46S5021381,"204.800,00",,,,,,,
LC0C74C46S5020859,"204.800,00",,,,,,,
LC0C74C46S5021428,"204.800,00",,,,,,,
LC0C74C46S5021431,"204.800,00",,,,,,,
LC0C74C46S5020831,"204.800,00",,,,,,,
LC0C74C46S5020795,"204.800,00",,,,,,,
LC0C74C46S5019887,"204.800,00",,,,,,,
LC0C74C46S5021364,"204.800,00",,,,,,,
LC0C74C46S5021395,"204.800,00",,,,,,,
LC0C74C46S5020053,"204.800,00",,,,,,,
LC0C74C46S5020165,"204.800,00",,,,,,,
LC0C74C46S5021526,"204.800,00",,,,,,,
LC0C74C47S5012284,"204.800,00",,,,,,,
LC0C74C46S5021543,"204.800,00",,,,,,,
LC0C74C46S5021512,"204.800,00",,,,,,,
LC0C74C47S5021373,"204.800,00",,,,,,,
LC0C74C47S5021406,"204.800,00",,,,,,,
LC0C74C47S5021387,"204.800,00",,,,,,,
LC0C74C47S5021437,"204.800,00",,,,,,,
LC0C74C4XS5014661,"204.800,00",,,,,,,
LC0C74C4XS5017365,"204.800,00",,,,,,,
LC0C74C49S5020841,"204.800,00",,,,,,,
LC0C74C49S5021293,"204.800,00",,,,,,,
LC0C74C49S5021374,"204.800,00",,,,,,,
LC0C74C49S5020855,"204.800,00",,,,,,,
LC0C74C49S5021388,"204.800,00",,,,,,,
LC0C74C4XS5017401,"204.800,00",,,,,,,
LC0C74C4XS5015972,"204.800,00",,,,,,,
LC0C74C4XS5015356,"204.800,00",,,,,,,
LC0C74C4XS5018225,"204.800,00",,,,,,,
LC0C74C4XS5018158,"204.800,00",,,,,,,
LC0C74C4XS5018239,"204.800,00",,,,,,,
LC0C74C4XS5016099,"204.800,00",,,,,,,
LC0C74C4XS5016278,"204.800,00",,,,,,,
LC0C74C4XS5016393,"204.800,00",,,,,,,
LC0C74C4XS5012313,"204.800,00",,,,,,,
LC0C74C4XS5015924,"204.800,00",,,,,,,
LC0C74C4XS5016295,"204.800,00",,,,,,,
LC0C74C49S5021522,"204.800,00",,,,,,,
LC0C76C40S0024981,"191.900,00",,,,,,,
LC0C76C43S0018415,"191.900,00",,,,,,,
LC0C76C40S0016010,"191.900,00",,,,,,,
LC0C76C40S0025001,"191.900,00",,,,,,,
LC0C76C40S0024902,"191.900,00",,,,,,,
LC0C76C40S0015939,"191.900,00",,,,,,,
LC0C76C40S0024978,"191.900,00",,,,,,,
LC0C76C43S0018351,"191.900,00",,,,,,,
LC0C76C43S0017670,"191.900,00",,,,,,,
LC0C76C4XS0012952,"191.900,00",,,,,,,
LC0C76C46S0023771,"191.900,00",,,,,,,
LC0C76C41S0014430,"191.900,00",,,,,,,
LC0C76C43S0019399,"191.900,00",,,,,,,
LC0C76C49S0023764,"191.900,00",,,,,,,
LC0C76C40S0025046,"191.900,00",,,,,,,
LC0C76C43S0019337,"191.900,00",,,,,,,
LC0C76C40S0016881,"191.900,00",,,,,,,
LC0C76C43S0019290,"191.900,00",,,,,,,
LC0C76C43S0019418,"191.900,00",,,,,,,
LC0C76C40S0016993,"191.900,00",,,,,,,
LC0C76C43S0019175,"191.900,00",,,,,,,
