chassi,pps,val_pdi,percentil_atacado
LC0C76C49T0013172,"175.990,00",700,"0,02"
LC0C76C48T0013132,"175.990,00",700,"0,02"
LC0C76C47T0014420,"175.990,00",700,"0,02"
LC0C76C4XT0013116,"175.990,00",700,"0,02"
LC0C76C41T0013103,"175.990,00",700,"0,02"
LC0C76C44T0013077,"175.990,00",700,"0,02"
LC0C76C41T0013084,"175.990,00",700,"0,02"
LC0C76C4XT0013102,"175.990,00",700,"0,02"
LC0C76C49T0014287,"175.990,00",700,"0,02"
LC0C76C41T0013098,"175.990,00",700,"0,02"
LC0C76C43T0013099,"175.990,00",700,"0,02"
LC0C76C43T0013152,"175.990,00",700,"0,02"
LC0C76C49T0014323,"175.990,00",700,"0,02"
LC0C76C44T0013192,"175.990,00",700,"0,02"
LC0C76C44T0013094,"175.990,00",700,"0,02"
LC0C76C4XT0013052,"175.990,00",700,"0,02"
LC0C76C4XT0014430,"175.990,00",700,"0,02"
LC0C76C43T0013149,"175.990,00",700,"0,02"
LC0C76C43T0013071,"175.990,00",700,"0,02"
LC0C76C48T0013096,"175.990,00",700,"0,02"
LC0C76C48T0013115,"175.990,00",700,"0,02"
LC0C76C49T0013107,"175.990,00",700,"0,02"
LC0C76C40T0013125,"175.990,00",700,"0,02"
LC0C76C40T0014436,"175.990,00",700,"0,02"
LC0C76C49T0014418,"175.990,00",700,"0,02"
LC0C76C47T0014417,"175.990,00",700,"0,02"
LC0C76C44T0013189,"175.990,00",700,"0,02"
LC0C76C49T0013169,"175.990,00",700,"0,02"
LC0C76C41T0013196,"175.990,00",700,"0,02"
LC0C76C49T0013088,"175.990,00",700,"0,02"
LC0C76C43T0014401,"175.990,00",700,"0,02"
LC0C76C43T0013104,"175.990,00",700,"0,02"
LC0C76C44T0013144,"175.990,00",700,"0,02"
LC0C76C4XT0013049,"175.990,00",700,"0,02"
LC0C76C48T0014345,"175.990,00",700,"0,02"
LC0C76C4XT0013195,"175.990,00",700,"0,02"
LC0C76C48T0013082,"175.990,00",700,"0,02"
LC0C76C49T0013091,"175.990,00",700,"0,02"
LC0C76C40T0013108,"175.990,00",700,"0,02"
LC0C76C41T0011786,"175.990,00",700,"0,02"
LC0C76C44T0013158,"175.990,00",700,"0,02"
LC0C76C43T0014432,"175.990,00",700,"0,02"
LC0C76C43T0014267,"175.990,00",700,"0,02"
LC0C76C49T0014452,"175.990,00",700,"0,02"
LC0C76C4XT0013181,"175.990,00",700,"0,02"
LC0C76C48T0013129,"175.990,00",700,"0,02"
LC0C76C48T0013065,"175.990,00",700,"0,02"
LC0C76C40T0013111,"175.990,00",700,"0,02"
LGXCF6CD1S2005540,"249.990,00",700,"0,02"
LGXCF6CD1S2005408,"249.990,00",700,"0,02"
LGXCF6CD5S2005654,"249.990,00",700,"0,02"
LGXCF6CD1S2005506,"249.990,00",700,"0,02"
LGXCF6CD2S2005644,"249.990,00",700,"0,02"
LGXCF6CD2S2005417,"249.990,00",700,"0,02"
LGXCF6CD2S2005482,"249.990,00",700,"0,02"
LGXCF6CD0S2005450,"249.990,00",700,"0,02"
LGXCF6CD2S2005451,"249.990,00",700,"0,02"
LGXCF6CD1S2004601,"249.990,00",700,"0,02"
LGXCF6CD1S2004632,"249.990,00",700,"0,02"
LGXCF6CD5S2005637,"249.990,00",700,"0,02"
LGXCF6CDXS2005665,"249.990,00",700,"0,02"
LGXCF6CD9S2005561,"249.990,00",700,"0,02"
LGXC74C48T0051980,"249.990,00",700,"0,02"
LGXC74C47T0051999,"249.990,00",700,"0,02"
LGXC74C41T0042294,"249.990,00",700,"0,02"
LGXC74C40T0042271,"249.990,00",700,"0,02"
LGXC74C4XT0042262,"249.990,00",700,"0,02"
LGXC74C43T0042295,"249.990,00",700,"0,02"
LGXC74C49T0030443,"249.990,00",700,"0,02"
LGXC74C49T0055004,"249.990,00",700,"0,02"
LGXC74C42T0054972,"249.990,00",700,"0,02"
LGXC74C49T0052264,"249.990,00",700,"0,02"
LGXC74C47T0052277,"249.990,00",700,"0,02"
LGXC74C46T0052254,"249.990,00",700,"0,02"
LGXC74C43T0056682,"249.990,00",700,"0,02"
LGXC74C43T0056701,"249.990,00",700,"0,02"
LGXC74C43T0056746,"249.990,00",700,"0,02"
LGXC74C42T0056737,"249.990,00",700,"0,02"
LGXC74C43T0056679,"249.990,00",700,"0,02"
LGXC74C43T0056665,"249.990,00",700,"0,02"
LGXC74C43T0055029,"249.990,00",700,"0,02"
LGXC74C43T0055046,"249.990,00",700,"0,02"
LGXC74C49T0048439,"249.990,00",700,"0,02"
LGXC74C49T0050675,"249.990,00",700,"0,02"
LGXC74C48T0050716,"249.990,00",700,"0,02"
LGXC74C42T0051974,"249.990,00",700,"0,02"
LGXC74C4XT0053066,"249.990,00",700,"0,02"
LGXC74C42T0050680,"249.990,00",700,"0,02"
LGXC74C43T0053121,"249.990,00",700,"0,02"
LGXC74C47T0048343,"249.990,00",700,"0,02"
LGXC74C47T0042266,"249.990,00",700,"0,02"
LGXC74C42T0048041,"249.990,00",700,"0,02"
LGXC74C44T0048090,"249.990,00",700,"0,02"
LGXC74C44T0050700,"249.990,00",700,"0,02"
LGXC74C49T0053110,"249.990,00",700,"0,02"
LGXC74C47T0053056,"249.990,00",700,"0,02"
LGXC74C48T0050702,"249.990,00",700,"0,02"
LGXC74C47T0048357,"249.990,00",700,"0,02"
LGXC74C4XT0053052,"249.990,00",700,"0,02"
LGXC74C42T0050713,"249.990,00",700,"0,02"
LGXC74C46T0048883,"249.990,00",700,"0,02"
LGXC74C43T0048890,"249.990,00",700,"0,02"
LGXC74C44T0050695,"249.990,00",700,"0,02"
LGXC74C44T0054245,"249.990,00",700,"0,02"
LGXC74C43T0053166,"249.990,00",700,"0,02"
LGXC74C45T0044632,"249.990,00",700,"0,02"
LGXC74C42T0045575,"249.990,00",700,"0,02"
LGXC74C42T0047455,"249.990,00",700,"0,02"
LGXC74C49T0048098,"249.990,00",700,"0,02"
LGXC74C45T0055081,"249.990,00",700,"0,02"
LGXC74C45T0050401,"249.990,00",700,"0,02"
LGXC74C45T0052195,"249.990,00",700,"0,02"
LGXC74C46T0054229,"249.990,00",700,"0,02"
LGXC74C49T0044200,"249.990,00",700,"0,02"
LGXC74C46T0050374,"249.990,00",700,"0,02"
LGXC74C40T0048071,"249.990,00",700,"0,02"
LGXC74C41T0048032,"249.990,00",700,"0,02"
LGXC74C44T0052172,"249.990,00",700,"0,02"
LGXC74C4XT0059028,"249.990,00",700,"0,02"
LGXC74C47T0044583,"249.990,00",700,"0,02"
LGXC74C42T0059007,"249.990,00",700,"0,02"
LGXC74C4XT0044206,"249.990,00",700,"0,02"
LGXC74C49T0059053,"249.990,00",700,"0,02"
LGXC74C49T0044214,"249.990,00",700,"0,02"
LGXC74C49T0059103,"249.990,00",700,"0,02"
LGXC74C48T0044205,"249.990,00",700,"0,02"
LGXC74C41T0050458,"249.990,00",700,"0,02"
LGXC74C46T0049726,"249.990,00",700,"0,02"
LGXC74C42T0043552,"249.990,00",700,"0,02"
LGXC74C46T0043554,"249.990,00",700,"0,02"
LGXC74C46T0035518,"249.990,00",700,"0,02"
LGXC74C42T0059038,"249.990,00",700,"0,02"
LGXC74C49T0059036,"249.990,00",700,"0,02"
LGXC74C46T0052173,"249.990,00",700,"0,02"
LGXC74C44T0050518,"249.990,00",700,"0,02"
LGXC74C43T0054947,"249.990,00",700,"0,02"
LGXC74C44T0052107,"249.990,00",700,"0,02"
LGXC74C4XT0050457,"249.990,00",700,"0,02"
LGXC74C4XT0054220,"249.990,00",700,"0,02"
LGXC74C4XT0055058,"249.990,00",700,"0,02"
LGXC74C42T0052154,"249.990,00",700,"0,02"
LGXC74C42T0052221,"249.990,00",700,"0,02"
LGXC74C41T0054963,"249.990,00",700,"0,02"
LGXC74C42T0050419,"249.990,00",700,"0,02"
LGXC74C43T0052163,"249.990,00",700,"0,02"
LGXC74C42T0053353,"249.990,00",700,"0,02"
LGXC74C41T0052176,"249.990,00",700,"0,02"
LGXC74C42T0054132,"249.990,00",700,"0,02"
LGXC74C43T0050378,"249.990,00",700,"0,02"
LGXC74C41T0052212,"249.990,00",700,"0,02"
LGXC74C42T0054227,"249.990,00",700,"0,02"
LGXC74C43T0050400,"249.990,00",700,"0,02"
LGXC74C44T0050597,"249.990,00",700,"0,02"
LGXC74C45T0050592,"249.990,00",700,"0,02"
LGXC74C46T0054151,"249.990,00",700,"0,02"
LGXC74C44T0052110,"249.990,00",700,"0,02"
LGXC74C46T0052187,"249.990,00",700,"0,02"
LGXC74C43T0054964,"249.990,00",700,"0,02"
LGXC74C4XT0053116,"249.990,00",700,"0,02"
LGXC74C42T0051991,"249.990,00",700,"0,02"
LGXC74C42T0050663,"249.990,00",700,"0,02"
LGXC74C41T0052016,"249.990,00",700,"0,02"
LGXC74C45T0051998,"249.990,00",700,"0,02"
LGXC74C44T0048042,"249.990,00",700,"0,02"
LGXC74C42T0052171,"249.990,00",700,"0,02"
LGXC74C4XT0055075,"249.990,00",700,"0,02"
LGXC74C4XT0054329,"249.990,00",700,"0,02"
LGXC74C43T0052180,"249.990,00",700,"0,02"
LGXC74C41T0054185,"249.990,00",700,"0,02"
LGXC74C43T0050476,"249.990,00",700,"0,02"
LGXC74C42T0050436,"249.990,00",700,"0,02"
LGXC74C41T0055076,"249.990,00",700,"0,02"
LC0CE4CB6T0000551,"235.990,00",700,"0,02"
LC0CE4CB5T0000833,"235.990,00",700,"0,02"
LC0CE4CB5T0000816,"235.990,00",700,"0,02"
LC0CE4CBXT0000018,"235.990,00",700,"0,02"
LC0CE4CB6T0000307,"235.990,00",700,"0,02"
LGXCF6CDXS2004810,"249.990,00",700,"0,02"
LGXCF6CD1S2003545,"249.990,00",700,"0,02"
LGXCF6CDXS2004144,"249.990,00",700,"0,02"
LGXCF6CD9S2004068,"249.990,00",700,"0,02"
LGXCF6CD3S2003949,"249.990,00",700,"0,02"
LGXCF6CD1S2002976,"249.990,00",700,"0,02"
LGXCF6CD9S2001798,"249.990,00",700,"0,02"
