chassi,val_pdi,dta_recebimento_pdi
LC0C76C48S0021990,"700,00",28/05/2025
LC0C76C48S0021892,"700,00",28/05/2025
LC0C76C48S0023433,"700,00",28/05/2025
LC0C76C49S0022212,"700,00",28/05/2025
LC0C76C47S0023455,"700,00",28/05/2025
LC0C76C49S0022162,"700,00",28/05/2025
LC0C76C4XS0022199,"700,00",28/05/2025
LC0C76C49S0022307,"700,00",28/05/2025
LC0C76C48S0022248,"700,00",28/05/2025
LC0C76C48S0021911,"700,00",28/05/2025
LC0C76C4XS0013017,"700,00",28/05/2025
LC0C76C4XS0012823,"700,00",28/05/2025
LC0C76C4XS0012885,"700,00",28/05/2025
LC0C76C4XS0012806,"700,00",28/05/2025
LC0C76C4XS0012983,"700,00",28/05/2025
LC0C76C49S0021836,"700,00",28/05/2025
LC0C76C43S0013098,"700,00",28/05/2025
LC0C76C48S0021889,"700,00",28/05/2025
LC0C76C42S0012783,"700,00",28/05/2025
LC0C76C48S0021875,"700,00",28/05/2025
LC0C76C42S0022052,"700,00",28/05/2025
LC0C76C48S0022301,"700,00",28/05/2025
LC0C76C49S0022016,"700,00",28/05/2025
LC0C76C47S0022046,"700,00",28/05/2025
LC0C76C49S0022078,"700,00",28/05/2025
LC0C76C47S0022015,"700,00",28/05/2025
LC0C76C47S0022273,"700,00",28/05/2025
LC0C76C47S0022192,"700,00",28/05/2025
LC0C76C47S0022211,"700,00",28/05/2025
LC0C76C47S0022287,"700,00",28/05/2025
LC0C76C47S0022225,"700,00",28/05/2025
LC0C76C47S0022001,"700,00",28/05/2025
LC0C76C47S0022130,"700,00",28/05/2025
LC0C76C47S0022239,"700,00",28/05/2025
LC0C76C47S0022161,"700,00",28/05/2025
LC0C76C47S0022032,"700,00",28/05/2025
LC0C76C47S0022290,"700,00",28/05/2025
LC0C76C47S0022063,"700,00",28/05/2025
LC0C74C4XS5011131,"700,00",28/05/2025
LC0C74C4XS5011565,"700,00",28/05/2025
LC0C74C4XS5011209,"700,00",28/05/2025
LC0C74C4XS5011145,"700,00",28/05/2025
LC0C74C4XS5010724,"700,00",28/05/2025
LC0C74C4XS5010660,"700,00",28/05/2025
LC0C74C4XS5010691,"700,00",28/05/2025
LC0C74C4XS5011078,"700,00",28/05/2025
LC0C74C4XS5010366,"700,00",28/05/2025
LC0C74C4XS5011033,"700,00",28/05/2025
LC0C74C4XS5010917,"700,00",28/05/2025
LC0C74C4XS5011016,"700,00",28/05/2025
LC0C74C4XS5011047,"700,00",28/05/2025
LC0C74C4XS5010769,"700,00",28/05/2025
LC0C74C49S5002243,"700,00",28/05/2025
LC0C74C48S5011287,"700,00",28/05/2025
LC0C76C42S0023394,"700,00",28/05/2025
LC0C76C42S0023511,"700,00",28/05/2025
LC0C76C42S0022312,"700,00",28/05/2025
LC0C76C42S0022133,"700,00",28/05/2025
LGXC74C45S0049635,"700,00",28/05/2025
LGXC74C45S0049571,"700,00",28/05/2025
LGXC74C45S0049702,"700,00",28/05/2025
LGXC74C45S0048629,"700,00",28/05/2025
LGXC74C45S0049733,"700,00",28/05/2025
LGXC74C45S0049697,"700,00",28/05/2025
LGXC74C45S0048677,"700,00",28/05/2025
LGXC74C45S0050218,"700,00",28/05/2025
LGXC74C45S0049604,"700,00",28/05/2025
LGXC74C45S0049585,"700,00",28/05/2025
LGXC74C45S0049599,"700,00",28/05/2025
LGXC74C49S0048679,"700,00",28/05/2025
LGXC74C49S0046947,"700,00",28/05/2025
LGXC74C48S0050777,"700,00",28/05/2025
LGXC74C48S0050259,"700,00",28/05/2025
LGXC74C46S0049630,"700,00",28/05/2025
LGXC74C46S0049692,"700,00",28/05/2025
LGXC74C48S0050262,"700,00",28/05/2025
LGXC74C46S0049689,"700,00",28/05/2025
LGXC74C46S0049627,"700,00",28/05/2025
LGXC74C48S0050763,"700,00",28/05/2025
LGXC74C49S0048651,"700,00",28/05/2025
LGXC74C48S0050780,"700,00",28/05/2025
LGXC74C48S0050746,"700,00",28/05/2025
LGXC74C48S0050276,"700,00",28/05/2025
LGXC74C45S0048646,"700,00",28/05/2025
LGXC74C45S0049568,"700,00",28/05/2025
LGXC74C4XS0050778,"700,00",28/05/2025
LGXC74C4XS0050781,"700,00",28/05/2025
LC0C76C42S0022097,"700,00",28/05/2025
LC0C76C41S0028750,"700,00",28/05/2025
LC0C76C42S0028806,"700,00",28/05/2025
LC0C76C41S0028893,"700,00",28/05/2025
LC0C76C41S0028960,"700,00",28/05/2025
